4.697289753646632307e+05 1.778020069670163128e-01 2.284025044832964091e-01 3.155827636718750000e+02 1.243576298847900262e+03 2.018033403598643872e+03
1.718234250090474670e+05 2.317845275110302083e-01 2.767370563056902322e-01 6.221086425781250000e+02 1.570815343942846084e+03 2.353594212518322365e+03
1.449532740512897362e+04 3.568895883258557111e-01 3.963664091145165935e-01 8.681386718750000000e+02 2.130854878680102047e+03 2.724004885249263225e+03
1.455766720302202521e+04 3.692345221051633319e-01 4.085427563331212597e-01 8.844716186523437500e+02 2.132650455719955971e+03 2.715407462194642903e+03
9.505385596926273138e+03 3.611299414474947178e-01 4.013026605791827350e-01 8.823364257812500000e+02 2.151892501032537893e+03 2.739054219403094066e+03
7.888035726833287299e+03 3.464593690104586510e-01 3.850250046735837484e-01 8.581051635742187500e+02 2.141940365058124371e+03 2.746689065926768308e+03
9.796156577939478666e+03 3.556438651382509142e-01 3.952335229949184292e-01 8.551668701171875000e+02 2.101198217181073232e+03 2.700018885447142566e+03
1.011279005774113102e+04 3.804052990344132246e-01 4.209475031386918364e-01 8.573535156250000000e+02 2.075321980100996825e+03 2.654652060846929544e+03
1.556281679904419070e+04 4.261076949183507656e-01 4.716000974511952437e-01 8.572351074218750000e+02 2.138982894007874620e+03 2.655418931892423188e+03
9.734258712612111412e+04 3.054738471400403887e-01 3.514668946420569373e-01 7.126185913085937500e+02 2.077342750461686592e+03 2.456878080583367591e+03
2.984129108123304322e+05 2.448533849173400723e-01 2.908523701154112073e-01 5.250270385742187500e+02 1.969682993329821784e+03 2.218375484936492740e+03
